ComunidadAutonoma,Provincia,NombreAyuntamiento,WebAyuntamiento,SedeElectronica,HttpStatus
Andalucía,Córdoba,Ayuntamiento de Posadas,http://www.posadas.es ,,"HTTPConnectionPool(host='www.posadas.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306624E810>: Failed to resolve 'www.posadas.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Pozoblanco,http://www.pozoblanco.es ,,"HTTPConnectionPool(host='www.pozoblanco.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306625B510>: Failed to resolve 'www.pozoblanco.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Puente Genil,http://www.aytopuentegenil.es ,,"HTTPConnectionPool(host='www.aytopuentegenil.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066233850>: Failed to resolve 'www.aytopuentegenil.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Santa Eufemia,http://www.santaeufemia.es ,,"HTTPConnectionPool(host='www.santaeufemia.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306621CBD0>: Failed to resolve 'www.santaeufemia.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Torrecampo,http://www.torrecampo.es ,,"HTTPConnectionPool(host='www.torrecampo.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306624FC90>: Failed to resolve 'www.torrecampo.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Villa del Río,http://www.villadelrio.org ,,"HTTPConnectionPool(host='www.villadelrio.org%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066258E90>: Failed to resolve 'www.villadelrio.org%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Villanueva del Duque,http://www.villanuevadelduque.es,,"HTTPConnectionPool(host='www.villanuevadelduque.es', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066240D90>: Failed to resolve 'www.villanuevadelduque.es' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Zuheros,http://www.zuheros.es ,,"HTTPConnectionPool(host='www.zuheros.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000230662414D0>: Failed to resolve 'www.zuheros.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Monturque,http://www.aytomonturque.org ,,"HTTPConnectionPool(host='www.aytomonturque.org%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066242190>: Failed to resolve 'www.aytomonturque.org%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Villaharta,http://www.villaharta.es ,,"HTTPConnectionPool(host='www.villaharta.es%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066243990>: Failed to resolve 'www.villaharta.es%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de Villanueva de Córdoba,http://www.villanuevadecordoba.com ,,"HTTPConnectionPool(host='www.villanuevadecordoba.com%20', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002306624D490>: Failed to resolve 'www.villanuevadecordoba.com%20' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Córdoba,Ayuntamiento de El Viso,http://www.ayto-elviso.com,https://elviso.sedelectronica.es,403
